time_s,activity
7.354879975318908691e-01,2.197265625000000000e-03
7.398399710655212402e-01,1.220703125000000000e-03
7.441920042037963867e-01,2.441406250000000000e-04
7.485439777374267578e-01,1.464843750000000000e-03
7.528960108757019043e-01,7.324218750000000000e-04
7.572479844093322754e-01,1.220703125000000000e-03
7.616000175476074219e-01,0.000000000000000000e+00
7.659519910812377930e-01,1.708984375000000000e-03
7.703040242195129395e-01,2.441406250000000000e-04
7.746559977531433105e-01,7.324218750000000000e-04
7.790079712867736816e-01,1.708984375000000000e-03
7.833600044250488281e-01,1.220703125000000000e-03
7.877119779586791992e-01,1.464843750000000000e-03
7.920640110969543457e-01,1.464843750000000000e-03
7.964159846305847168e-01,0.000000000000000000e+00
8.007680177688598633e-01,2.441406250000000000e-04
8.051199913024902344e-01,7.324218750000000000e-04
8.094720244407653809e-01,1.708984375000000000e-03
8.138239979743957520e-01,1.220703125000000000e-03
8.181759715080261230e-01,7.324218750000000000e-04
8.225280046463012695e-01,2.685546875000000000e-03
8.268799781799316406e-01,1.220703125000000000e-03
8.312320113182067871e-01,1.464843750000000000e-03
8.355839848518371582e-01,2.441406250000000000e-03
8.399360179901123047e-01,7.324218750000000000e-04
8.442879915237426758e-01,4.638671875000000000e-03
8.486400246620178223e-01,1.708984375000000000e-03
8.529919981956481934e-01,1.708984375000000000e-03
8.573439717292785645e-01,7.324218750000000000e-04
8.616960048675537109e-01,1.708984375000000000e-03
8.660479784011840820e-01,1.220703125000000000e-03
8.704000115394592285e-01,1.464843750000000000e-03
8.747519850730895996e-01,9.765625000000000000e-04
8.791040182113647461e-01,9.765625000000000000e-04
8.834559917449951172e-01,1.464843750000000000e-03
8.878080248832702637e-01,1.220703125000000000e-03
8.921599984169006348e-01,1.464843750000000000e-03
8.965119719505310059e-01,4.882812500000000000e-04
9.008640050888061523e-01,3.417968750000000000e-03
9.052159786224365234e-01,1.708984375000000000e-03
9.095680117607116699e-01,1.220703125000000000e-03
9.139199852943420410e-01,7.324218750000000000e-04
9.182720184326171875e-01,9.765625000000000000e-04
9.226239919662475586e-01,7.324218750000000000e-04
9.269760251045227051e-01,1.708984375000000000e-03
9.313279986381530762e-01,1.464843750000000000e-03
9.356799721717834473e-01,0.000000000000000000e+00
9.400320053100585938e-01,2.441406250000000000e-04
9.443839788436889648e-01,1.464843750000000000e-03
9.487360119819641113e-01,1.708984375000000000e-03
9.530879855155944824e-01,0.000000000000000000e+00
9.574400186538696289e-01,3.173828125000000000e-03
9.617919921875000000e-01,2.197265625000000000e-03
9.661440253257751465e-01,9.765625000000000000e-04
9.704959988594055176e-01,1.708984375000000000e-03
9.748479723930358887e-01,2.441406250000000000e-04
9.792000055313110352e-01,9.765625000000000000e-04
9.835519790649414062e-01,1.708984375000000000e-03
9.879040122032165527e-01,7.324218750000000000e-04
9.922559857368469238e-01,4.882812500000000000e-04
9.966080188751220703e-01,2.441406250000000000e-04
1.000959992408752441e+00,9.765625000000000000e-04
1.005311965942382812e+00,1.708984375000000000e-03
1.009664058685302734e+00,4.882812500000000000e-04
1.014016032218933105e+00,2.441406250000000000e-03
1.018368005752563477e+00,4.882812500000000000e-04
1.022719979286193848e+00,1.220703125000000000e-03
1.027071952819824219e+00,1.220703125000000000e-03
1.031424045562744141e+00,7.324218750000000000e-04
1.035776019096374512e+00,2.441406250000000000e-04
1.040127992630004883e+00,1.708984375000000000e-03
1.044479966163635254e+00,4.882812500000000000e-04
1.048832058906555176e+00,0.000000000000000000e+00
1.053184032440185547e+00,2.441406250000000000e-04
1.057536005973815918e+00,7.324218750000000000e-04
1.061887979507446289e+00,1.220703125000000000e-03
1.066239953041076660e+00,2.441406250000000000e-04
1.070592045783996582e+00,2.685546875000000000e-03
1.074944019317626953e+00,9.765625000000000000e-04
1.079295992851257324e+00,1.708984375000000000e-03
1.083647966384887695e+00,2.441406250000000000e-03
1.088000059127807617e+00,1.220703125000000000e-03
1.092352032661437988e+00,4.882812500000000000e-04
1.096704006195068359e+00,1.953125000000000000e-03
1.101055979728698730e+00,7.324218750000000000e-04
1.105407953262329102e+00,9.765625000000000000e-04
1.109760046005249023e+00,7.324218750000000000e-04
1.114112019538879395e+00,4.882812500000000000e-04
1.118463993072509766e+00,1.220703125000000000e-03
1.122815966606140137e+00,4.882812500000000000e-04
1.127168059349060059e+00,2.441406250000000000e-03
1.131520032882690430e+00,2.441406250000000000e-04
1.135872006416320801e+00,1.464843750000000000e-03
1.140223979949951172e+00,1.220703125000000000e-03
1.144575953483581543e+00,4.882812500000000000e-04
1.148928046226501465e+00,1.708984375000000000e-03
1.153280019760131836e+00,1.464843750000000000e-03
1.157631993293762207e+00,2.441406250000000000e-04
1.161983966827392578e+00,7.324218750000000000e-04
1.166336059570312500e+00,4.882812500000000000e-04
1.170688033103942871e+00,2.441406250000000000e-04
1.175040006637573242e+00,1.464843750000000000e-03
